date,open,low,high,close,volume
2025-02-03 06:45:00,154.638,154.591,154.732,154.603,4351
2025-02-03 06:30:00,154.707,154.624,154.728,154.638,4403
2025-02-03 06:15:00,154.801,154.684,154.82,154.707,4066
2025-02-03 06:00:00,154.936,154.8,154.963,154.801,4394
2025-02-03 05:45:00,154.886,154.829,154.949,154.936,4206
2025-02-03 05:30:00,155.061,154.832,155.067,154.886,4032
2025-02-03 05:15:00,155.055,155.03,155.127,155.061,3463
2025-02-03 05:00:00,154.998,154.996,155.104,155.055,3957
2025-02-03 04:45:00,155.109,154.997,155.138,154.998,4265
2025-02-03 04:30:00,155.275,155.101,155.297,155.109,3996
2025-02-03 04:15:00,155.272,155.191,155.329,155.275,4276
2025-02-03 04:00:00,155.454,155.265,155.467,155.272,5301
2025-02-03 03:45:00,155.379,155.346,155.472,155.454,5573
2025-02-03 03:30:00,155.471,155.365,155.497,155.379,4958
2025-02-03 03:15:00,155.615,155.45,155.666,155.471,6157
2025-02-03 03:00:00,155.616,155.553,155.71,155.615,7478
2025-02-03 02:45:00,155.62,155.549,155.652,155.616,5622
2025-02-03 02:30:00,155.532,155.494,155.66,155.62,5154
2025-02-03 02:15:00,155.453,155.426,155.556,155.532,3678
2025-02-03 02:00:00,155.375,155.375,155.562,155.453,5427
2025-02-03 01:45:00,155.401,155.28,155.41,155.375,4871
2025-02-03 01:30:00,155.365,155.279,155.444,155.401,4783
2025-02-03 01:15:00,155.482,155.339,155.513,155.365,3611
2025-02-03 01:00:00,155.572,155.47,155.61,155.482,4005
2025-02-03 00:45:00,155.466,155.458,155.596,155.572,2977
2025-02-03 00:30:00,155.568,155.465,155.569,155.466,2457
2025-02-03 00:15:00,155.602,155.56,155.624,155.568,2547
2025-02-03 00:00:00,155.708,155.564,155.708,155.602,3304
2025-02-02 23:45:00,155.667,155.634,155.724,155.708,3195
2025-02-02 23:30:00,155.699,155.625,155.74,155.667,3920
2025-02-02 23:15:00,155.677,155.62,155.745,155.699,3302
2025-02-02 23:00:00,155.646,155.561,155.731,155.677,6147
2025-02-02 22:45:00,155.716,155.633,155.735,155.646,2297
2025-02-02 22:30:00,155.593,155.593,155.755,155.716,3091
2025-02-02 22:15:00,155.607,155.519,155.642,155.593,3428
2025-02-02 22:00:00,155.539,155.486,155.609,155.607,4639
